№, id,название,цена со скидкой,бренд,продаж,рейтинг,в наличии,Поверхность экрана,Процессор
216, 172331065,Ноутбук Nitro 5 AN515-46 (NH.QGYER.009),84559.0,Acer,14,0.0,23,NaN,AMD Ryzen 5 6600H
217, 181295690,"Ноутбук 14"" S435 R5-3450U 8ГБ+512ГБ SSD Radeon Vega 8 FHD",30599.0,KUANLITU,10,3.0,127,NaN,AMD Ryzen 5 3450U
218, 170432939,Ноутбук AERO 14 OLED,145309.0,Gigabyte,26,5.0,22,NaN,Intel Core i7 13700H
219, 140964775,"Ноутбук ZBookFury 17G8 17.3""512Gb SSD NVIDIA T1200 W10Pro",221220.0,HP,10,0.0,143,матовое,Intel Core i7-11800H (4.6 ГГц)
220, 185482101,"P2 14.1"" Ноутбук; Intel Celeron N5100 12+512ГБ",32391.0,IPASON,10,0.0,102,NaN,Intel Celeron N5100
221, 173639603,MateBook D 15 (53013urv); 15.6-i5-8-256-без ОС,41788.0,Huawei,22,5.0,120,матовая,Intel Core i5 1155G7
222, 172331059,Ноутбук Aspire 5 A515-57 I7165SUW1 [NX.K3KER.004],105642.0,Acer,18,0.0,17,антибликовая,Intel Core i7 1255U
223, 172331042,Ноутбук Swift 3 SF314-511 I382SUW1 [NX.ACWER.008],52617.0,Acer,21,0.0,14,NaN,Intel Core i3 1115G4
224, 140964787,"Ноутбук ProBook 450 G9 15.6"" 16Gb 512Gb SSD W11Pro",163377.0,HP,10,1.0,101,матовое,Intel Core i7-1255U (3.5 ГГц)
225, 98823968,Ноутбук MagicBook 14; Intel i5-1135G7 8 512Гб,82480.0,Honor,23,0.0,86,матовая,Intel Core i5-1135G7 (2.4 ГГц)
226, 163211349,Ноутбук ThinkPad X13 Gen 3 (21BQS3SU00),97393.0,lenovo,19,0.0,88,антибликовая,Intel Core i5-1235U
227, 170432944,Ноутбук AORUS 17X,231277.0,Gigabyte,25,5.0,49,NaN,Intel Core i9 13900HX
228, 30403752,Ноутбук IdeaPad S145-15IIL (i3-1005G1 4Gb 256Gb SSD,44991.0,lenovo,10,3.0,120,матовая,Intel Core i3 1005G1
229, 172331060,Ноутбук Swift 3 SF314-512 I5165SUW1 [NX.K7MER.006],83349.0,Acer,19,0.0,14,антибликовая,Intel Core i5 1240P
230, 172331058,Ноутбук Aspire 5 A514-55 NX.K5DER.00G,51686.0,Acer,27,0.0,16,антибликовая,Intel Core i3 1215U
231, 149756682,Ноутбук A317-52 17.3FHD i5 4Gb 512Gb noOS(NX.HZWER.006),54219.0,Acer,7,0.0,98,NaN,Intel Core i5-1035G1
232, 171178152,Ноутбук X1503Z,76824.0,Asus,20,5.0,27,NaN,Intel Core i5 12500H
233, 182780696,"P2 14.1"" Ноутбук; Intel Celeron N5100 12+256ГБ",30591.0,IPASON,10,0.0,102,NaN,Intel Celeron N5100
234, 172331056,Ноутбук Nitro 5 AN515-46 R7165SGN [NH.QGZER.007],119149.0,Acer,17,0.0,29,NaN,AMD Ryzen 7 6800H
235, 182627737,Predator Nitro 5 AN515-46-R2RQ (NH.QGZER.00D); черный,109021.0,Acer,36,0.0,95,NaN,AMD Ryzen 5 6600H
236, 163211348,Ноутбук ThinkPad X13 Gen 3 (21BQS3ST00),112870.0,lenovo,12,0.0,88,антибликовая,Intel Core i7-1255U
237, 172331057,Ноутбук Aspire 5 A514-55 I5165SUW1 [NX.K5DER.009],66408.0,Acer,25,0.0,16,антибликовая,Intel Core i5 1235U
238, 163211337,Ноутбук ThinkPad L13 Gen 3 (21BAS0SD00),87112.0,lenovo,20,0.0,126,антибликовая,AMD Ryzen 7 PRO 5875U
239, 166284593,Ноутбук 15.6 IPS 4-Ядра DDR 4 16 GB SSD 512 GB W10pro,31536.0,Ganiev,56,4.0,108,матовая,Intel Celeron N5095
